STATE,YEAR,NSDP Per Capita,Telephone,State-wise Credit-Deposit Ratio of Scheduled Commercial Banks - According to Place of Sanction,STATE-WISE AVAILABILITY OF POWER net crore units,HDI
Assam,#NAME?,37846.33,39,36.5,506,0.646
Assam,#NAME?,41142,46.6,37.7,570,0.652
Assam,#NAME?,41609,46.51,37.2,605,0.651
Assam,#NAME?,43002,48.74,37.7,706,0.657
Assam,#NAME?,44809,53.95,36.7,793,0.658
Assam,#NAME?,50642,57.64,42.2,827,0.666
Assam,#NAME?,53575,66.97,40.3,869,0.669
Assam,#NAME?,57835,76.87,42.6,878,0.661
Assam,#NAME?,59943,68.81,44.3,924,0.664
Assam,#NAME?,61519,70.01,43,929,0.665
Assam,#NAME?,62944,70.86,46.7,982,0.661
Assam,#NAME?,63657,68.5,48.9,1083,0.694
Assam,#NAME?,71551,70.73,52,1147,0.699
Assam,#NAME?,80089,74.02,58,1234,0.689
Gujarat,#NAME?,85597.34,81.9,66.2,6753,0.687
Gujarat,#NAME?,87481,91.1,70.4,7443,0.69
Gujarat,#NAME?,96683,87.23,72.8,9351,0.696
Gujarat,#NAME?,102589,90.54,74.7,8849,0.71
Gujarat,#NAME?,111370,95.61,72.7,9621,0.718
Gujarat,#NAME?,120683,100.06,75.4,10354,0.733
Gujarat,#NAME?,129738,113.71,68.9,10371,0.725
Gujarat,#NAME?,143604,112.45,75.6,10997,0.707
Gujarat,#NAME?,154887,107.21,78.8,11636,0.7
Gujarat,#NAME?,164060,103.51,74.8,11394,0.701
Gujarat,#NAME?,156285,99.08,69.9,11162,0.697
Gujarat,#NAME?,170519,95.08,69.9,12367,0.732
Gujarat,#NAME?,181963,92.58,71.5,13900,0.737
Gujarat,#NAME?,202064.6,91.53,74.4,14574,0.729
Himachal Pradesh,#NAME?,88299.67,111.1,41.6,736,0.75
Himachal Pradesh,#NAME?,87721,120.7,38.9,811,0.749
Himachal Pradesh,#NAME?,92672,105.39,35.1,874,0.755
Himachal Pradesh,#NAME?,98816,105.59,35.8,888,0.769
Himachal Pradesh,#NAME?,105241,114.52,35.3,873,0.776
Himachal Pradesh,#NAME?,112723,127.61,32.9,876,0.79
Himachal Pradesh,#NAME?,122208,147.86,29.7,878,0.789
Himachal Pradesh,#NAME?,129303,174.46,31.1,95,0.776
Himachal Pradesh,#NAME?,136292,146.37,30.8,962,0.775
Himachal Pradesh,#NAME?,140999,148.85,30.2,1035,0.776
Himachal Pradesh,#NAME?,132015,152.5,30.9,1013,0.772
Himachal Pradesh,#NAME?,137010,138.44,32,1209,0.81
Himachal Pradesh,#NAME?,144824,119.69,33.2,1254,0.815
Himachal Pradesh,#NAME?,153887,119.43,35.7,1277,0.8066
Karnataka,#NAME?,85277.94,87.8,72.7,4662,0.684
Karnataka,#NAME?,90263,97.2,71.4,5402,0.689
Karnataka,#NAME?,94375,91.24,71.9,5704,0.698
Karnataka,#NAME?,101858,92.45,71,5805,0.713
Karnataka,#NAME?,105697,97.54,67.7,5993,0.724
Karnataka,#NAME?,116812,101.89,70.1,6097,0.742
Karnataka,#NAME?,131186,113.39,67,6657,0.74
Karnataka,#NAME?,140747,109.05,69.7,6770,0.728
Karnataka,#NAME?,149024,110.04,69.7,7170,0.727
Karnataka,#NAME?,156478,108.19,65.2,7280,0.728
Karnataka,#NAME?,149578,105.85,59.8,6883,0.724
Karnataka,#NAME?,165517,100.1,60.5,7242,0.759
Karnataka,#NAME?,182371,101.91,64.5,7566,0.764
Karnataka,#NAME?,191970,103.2,69,9393,0.758
Kerala,#NAME?,97163.14,100,73.1,1777,0.811
Kerala,#NAME?,97912,106.6,76.4,1947,0.812
Kerala,#NAME?,103551,96.09,73.1,2039,0.817
Kerala,#NAME?,107846,96.19,67.7,2105,0.826
Kerala,#NAME?,112444,95.41,64.6,2213,0.833
Kerala,#NAME?,120387,102.33,62.1,2319,0.843
Kerala,#NAME?,129251,114.75,59.8,2426,0.842
Kerala,#NAME?,137181,121.61,63.8,2492,0.83
Kerala,#NAME?,147347,126.15,65.9,2490,0.823
Kerala,#NAME?,147951,123.19,65,2627,0.824
Kerala,#NAME?,132531,129.45,62.3,2510,0.82
